FECHA;INDICATIVO;TEMP_sup_30
01-12-2016;7031;0
01-01-2016;9262;0
01-02-2016;9262;0
01-03-2016;9262;0
01-04-2016;9262;0
01-05-2016;9262;0
01-06-2016;9262;4
01-07-2016;9262;12
01-08-2016;9262;15
01-09-2016;9262;8
01-10-2016;9262;0
01-11-2016;9262;0
01-12-2016;9262;0
01-01-2016;9263D;0
01-02-2016;9263D;0
01-03-2016;9263D;0
01-04-2016;9263D;0
01-05-2016;9263D;1
01-06-2016;9263D;5
01-07-2016;9263D;0
01-08-2016;9263D;16
01-09-2016;9263D;0
01-10-2016;9263D;0
01-11-2016;9263D;0
01-12-2016;9263D;0
01-01-2016;1690A;0
01-02-2016;1690A;0
01-03-2016;1690A;0
01-04-2016;1690A;0
01-05-2016;1690A;3
01-06-2016;1690A;11
01-07-2016;1690A;25
01-08-2016;1690A;27
01-09-2016;1690A;13
01-10-2016;1690A;0
01-11-2016;1690A;0
01-12-2016;1690A;0
01-01-2016;1484C;0
01-02-2016;1484C;0
01-03-2016;1484C;0
01-04-2016;1484C;0
01-05-2016;1484C;0
01-06-2016;1484C;0
01-07-2016;1484C;15
01-08-2016;1484C;7
01-09-2016;1484C;1
01-10-2016;1484C;0
01-11-2016;1484C;0
01-12-2016;1484C;0
01-01-2016;1495;0
01-02-2016;1495;0
01-03-2016;1495;0
01-04-2016;1495;0
01-05-2016;1495;0
01-06-2016;1495;0
01-07-2016;1495;16
01-08-2016;1495;0
01-09-2016;1495;6
01-10-2016;1495;0
01-11-2016;1495;0
01-12-2016;1495;0
01-01-2016;2867;0
01-02-2016;2867;0
01-03-2016;2867;0
01-04-2016;2867;0
01-05-2016;2867;0
01-06-2016;2867;10
01-07-2016;2867;24
01-08-2016;2867;23
01-09-2016;2867;9
01-10-2016;2867;0
01-11-2016;2867;0
01-12-2016;2867;0
01-01-2016;2870;0
01-02-2016;2870;0
01-03-2016;2870;0
01-04-2016;2870;0
01-05-2016;2870;0
01-06-2016;2870;13
01-07-2016;2870;0
01-08-2016;2870;0
01-09-2016;2870;0
01-10-2016;2870;0
01-11-2016;2870;0
01-12-2016;2870;0
01-01-2016;C929I;0
01-02-2016;C929I;0
01-03-2016;C929I;0
01-04-2016;C929I;0
01-05-2016;C929I;0
01-06-2016;C929I;0
01-07-2016;C929I;0
01-08-2016;C929I;0
01-09-2016;C929I;0
01-10-2016;C929I;0
01-11-2016;C929I;0
01-12-2016;C929I;0
01-01-2016;C430E;0
01-02-2016;C430E;0
01-03-2016;C430E;0
01-04-2016;C430E;0
01-05-2016;C430E;0
01-06-2016;C430E;0
01-07-2016;C430E;0
01-08-2016;C430E;0
01-09-2016;C430E;0
01-10-2016;C430E;0
01-11-2016;C430E;0
01-12-2016;C430E;0
01-01-2016;C139E;0
01-02-2016;C139E;0
01-03-2016;C139E;0
01-04-2016;C139E;0
01-05-2016;C139E;0
01-06-2016;C139E;0
01-07-2016;C139E;0
01-08-2016;C139E;0
01-09-2016;C139E;0
01-10-2016;C139E;0
01-11-2016;C139E;0
01-12-2016;C139E;0
01-01-2016;C449C;0
01-02-2016;C449C;0
01-03-2016;C449C;0
01-04-2016;C449C;0
01-05-2016;C449C;0
01-06-2016;C449C;3
01-07-2016;C449C;15
01-08-2016;C449C;15
01-09-2016;C449C;3
01-10-2016;C449C;0
01-11-2016;C449C;0
01-12-2016;C449C;0
01-01-2016;C447A;0
01-02-2016;C447A;0
01-03-2016;C447A;0
01-04-2016;C447A;0
01-05-2016;C447A;0
01-06-2016;C447A;2
01-07-2016;C447A;6
01-08-2016;C447A;11
01-09-2016;C447A;0
01-10-2016;C447A;0
01-11-2016;C447A;0
01-12-2016;C447A;0
01-01-2016;C429I;0
01-02-2016;C429I;0
01-03-2016;C429I;0
01-04-2016;C429I;0
01-05-2016;C429I;0
01-06-2016;C429I;0
01-07-2016;C429I;0
01-08-2016;C429I;12
01-09-2016;C429I;0
01-10-2016;C429I;4
01-11-2016;C429I;0
01-12-2016;C429I;0
01-01-2016;2465;0
01-02-2016;2465;0
01-03-2016;2465;0
01-04-2016;2465;0
01-05-2016;2465;0
01-06-2016;2465;8
01-07-2016;2465;21
01-08-2016;2465;20
01-09-2016;2465;8
01-10-2016;2465;0
01-11-2016;2465;0
01-12-2016;2465;0
01-01-2016;5796;0
01-02-2016;5796;0
01-03-2016;5796;0
01-04-2016;5796;0
01-05-2016;5796;6
01-06-2016;5796;0
01-07-2016;5796;30
01-08-2016;5796;31
01-09-2016;5796;23
01-10-2016;5796;11
01-11-2016;5796;0
01-12-2016;5796;0
01-01-2016;5783;0
01-02-2016;5783;0
01-03-2016;5783;0
01-04-2016;5783;0
01-05-2016;5783;8
01-06-2016;5783;24
01-07-2016;5783;31
01-08-2016;5783;31
01-09-2016;5783;25
01-10-2016;5783;8
01-11-2016;5783;0
01-12-2016;5783;0
01-01-2016;2030;0
01-02-2016;2030;0
01-03-2016;2030;0
01-04-2016;2030;0
01-05-2016;2030;0
01-06-2016;2030;5
01-07-2016;2030;18
01-08-2016;2030;17
01-09-2016;2030;9
01-10-2016;2030;0
01-11-2016;2030;0
01-12-2016;2030;0
01-01-2016;0016A;0
01-02-2016;0016A;0
01-03-2016;0016A;0
01-04-2016;0016A;0
01-05-2016;0016A;0
01-06-2016;0016A;0
01-07-2016;0016A;0
01-08-2016;0016A;0
01-09-2016;0016A;0
01-10-2016;0016A;0
01-11-2016;0016A;0
01-12-2016;0016A;0
01-01-2016;9981A;0
01-02-2016;9981A;0
01-03-2016;9981A;0
01-04-2016;9981A;0
01-05-2016;9981A;2
01-06-2016;9981A;23
01-07-2016;9981A;31
01-08-2016;9981A;29
01-09-2016;9981A;15
01-10-2016;9981A;3
01-11-2016;9981A;0
01-12-2016;9981A;0
01-01-2016;9381I;0
01-02-2016;9381I;0
01-03-2016;9381I;0
01-04-2016;9381I;0
01-05-2016;9381I;0
01-06-2016;9381I;10
01-07-2016;9381I;25
01-08-2016;9381I;23
01-09-2016;9381I;9
01-10-2016;9381I;0
01-11-2016;9381I;0
01-12-2016;9381I;0
01-01-2016;8368U;0
01-02-2016;8368U;0
01-03-2016;8368U;0
01-04-2016;8368U;0
01-05-2016;8368U;0
01-06-2016;8368U;17
01-07-2016;8368U;28
01-08-2016;8368U;28
01-09-2016;8368U;11
01-10-2016;8368U;0
01-11-2016;8368U;0
01-12-2016;8368U;0
01-01-2016;3260B;0
01-02-2016;3260B;0
01-03-2016;3260B;0
01-04-2016;3260B;0
01-05-2016;3260B;3
01-06-2016;3260B;24
01-07-2016;3260B;31
01-08-2016;3260B;31
01-09-2016;3260B;16
01-10-2016;3260B;4
01-11-2016;3260B;0
01-12-2016;3260B;0
01-01-2016;8416;0
01-02-2016;8416;0
01-03-2016;8416;0
01-04-2016;8416;0
01-05-2016;8416;2
01-06-2016;8416;2
01-07-2016;8416;15
01-08-2016;8416;6
01-09-2016;8416;7
01-10-2016;8416;0
01-11-2016;8416;0
01-12-2016;8416;0
01-01-2016;8414A;0
01-02-2016;8414A;0
01-03-2016;8414A;0
01-04-2016;8414A;0
01-05-2016;8414A;2
01-06-2016;8414A;2
01-07-2016;8414A;19
01-08-2016;8414A;20
01-09-2016;8414A;10
01-10-2016;8414A;0
01-11-2016;8414A;0
01-12-2016;8414A;0
01-01-2016;2422;0
01-02-2016;2422;0
01-03-2016;2422;0
01-04-2016;2422;0
01-05-2016;2422;0
01-06-2016;2422;12
01-07-2016;2422;23
01-08-2016;2422;21
01-09-2016;2422;9
01-10-2016;2422;0
01-11-2016;2422;0
01-12-2016;2422;0
01-01-2016;2539;0
01-02-2016;2539;0
01-03-2016;2539;0
01-04-2016;2539;0
01-05-2016;2539;0
01-06-2016;2539;4
01-07-2016;2539;20
01-08-2016;2539;17
01-09-2016;2539;8
01-10-2016;2539;0
01-11-2016;2539;0
01-12-2016;2539;0
01-01-2016;2614;0
01-02-2016;2614;0
01-03-2016;2614;0
01-04-2016;2614;0
01-05-2016;2614;0
01-06-2016;2614;12
01-07-2016;2614;26
01-08-2016;2614;22
01-09-2016;2614;9
01-10-2016;2614;0
01-11-2016;2614;0
01-12-2016;2614;0
01-01-2016;9390;0
01-02-2016;9390;0
01-03-2016;9390;0
01-04-2016;9390;0
01-05-2016;9390;0
01-06-2016;9390;10
01-07-2016;9390;22
01-08-2016;9390;22
01-09-2016;9390;9
01-10-2016;9390;0
01-11-2016;9390;0
01-12-2016;9390;0
01-01-2016;9434;0
01-02-2016;9434;0
01-03-2016;9434;0
01-04-2016;9434;0
01-05-2016;9434;3
01-06-2016;9434;21
01-07-2016;9434;28
01-08-2016;9434;25
01-09-2016;9434;13
01-10-2016;9434;0
01-11-2016;9434;0
01-12-2016;9434;0
01-01-2017;1387;0
01-02-2017;1387;0
01-03-2017;1387;0
01-04-2017;1387;0
01-05-2017;1387;0
01-06-2017;1387;0
01-07-2017;1387;1
01-08-2017;1387;1
01-09-2017;1387;0
01-10-2017;1387;1
01-11-2017;1387;0
01-12-2017;1387;0
01-01-2017;1387E;0
01-02-2017;1387E;0
