Fecha;INDICATIVO;DIAS_SOL
01-02-2016;2867;5
01-03-2016;2867;2
01-04-2016;2867;3
01-05-2016;2867;6
01-06-2016;2867;10
01-07-2016;2867;20
01-08-2016;2867;17
01-09-2016;2867;9
01-10-2016;2867;5
01-11-2016;2867;2
01-12-2016;2867;3
01-01-2016;C929I;4
01-02-2016;C929I;0
01-03-2016;C929I;4
01-04-2016;C929I;0
01-05-2016;C929I;6
01-06-2016;C929I;6
01-07-2016;C929I;2
01-08-2016;C929I;7
01-09-2016;C929I;5
01-10-2016;C929I;1
01-11-2016;C929I;4
01-12-2016;C929I;5
01-01-2016;C139E;5
01-02-2016;C139E;0
01-03-2016;C139E;2
01-04-2016;C139E;2
01-05-2016;C139E;0
01-06-2016;C139E;2
01-07-2016;C139E;11
01-08-2016;C139E;12
01-09-2016;C139E;4
01-10-2016;C139E;2
01-11-2016;C139E;0
01-12-2016;C139E;5
01-01-2016;C447A;5
01-02-2016;C447A;0
01-03-2016;C447A;3
01-04-2016;C447A;0
01-05-2016;C447A;0
01-06-2016;C447A;6
01-07-2016;C447A;12
01-08-2016;C447A;11
01-09-2016;C447A;2
01-10-2016;C447A;4
01-11-2016;C447A;1
01-12-2016;C447A;0
01-01-2016;C429I;12
01-02-2016;C429I;4
01-03-2016;C429I;8
01-04-2016;C429I;1
01-05-2016;C429I;4
01-06-2016;C429I;15
01-07-2016;C429I;23
01-08-2016;C429I;21
01-09-2016;C429I;16
01-10-2016;C429I;7
01-11-2016;C429I;5
01-12-2016;C429I;5
01-01-2016;5796;1
01-02-2016;5796;5
01-03-2016;5796;10
01-04-2016;5796;6
01-05-2016;5796;11
01-06-2016;5796;22
01-07-2016;5796;24
01-08-2016;5796;23
01-09-2016;5796;16
01-10-2016;5796;7
01-11-2016;5796;7
01-12-2016;5796;10
01-01-2016;5783;3
01-02-2016;5783;6
01-03-2016;5783;12
01-04-2016;5783;9
01-05-2016;5783;10
01-06-2016;5783;16
01-07-2016;5783;24
01-08-2016;5783;28
01-09-2016;5783;18
01-10-2016;5783;9
01-11-2016;5783;10
01-12-2016;5783;13
01-01-2016;0016A;3
01-02-2016;0016A;5
01-03-2016;0016A;3
