FECHA;INDICATIVO;DIAS_NIE
01-02-2017;C429I;0
01-03-2017;C429I;0
01-04-2017;C429I;0
01-05-2017;C429I;0
01-06-2017;C429I;0
01-07-2017;C429I;0
01-08-2017;C429I;0
01-09-2017;C429I;0
01-10-2017;C429I;0
01-11-2017;C429I;0
01-12-2017;C429I;0
01-01-2017;2465;4
01-02-2017;2465;2
01-03-2017;2465;4
01-04-2017;2465;1
01-05-2017;2465;0
01-06-2017;2465;0
01-07-2017;2465;0
01-08-2017;2465;0
01-09-2017;2465;0
01-10-2017;2465;0
01-11-2017;2465;1
01-12-2017;2465;3
01-01-2017;5796;0
01-02-2017;5796;0
01-03-2017;5796;0
01-04-2017;5796;0
01-05-2017;5796;0
01-06-2017;5796;0
01-07-2017;5796;0
01-08-2017;5796;0
01-09-2017;5796;0
01-10-2017;5796;0
01-11-2017;5796;0
01-12-2017;5796;0
01-01-2017;5783;0
01-02-2017;5783;0
01-03-2017;5783;0
01-04-2017;5783;0
01-05-2017;5783;0
01-06-2017;5783;0
01-07-2017;5783;0
01-08-2017;5783;0
01-09-2017;5783;0
01-10-2017;5783;0
01-11-2017;5783;0
01-12-2017;5783;0
01-01-2017;2030;10
01-02-2017;2030;4
01-03-2017;2030;6
01-04-2017;2030;1
01-05-2017;2030;0
01-06-2017;2030;0
01-07-2017;2030;0
01-08-2017;2030;0
01-09-2017;2030;0
01-10-2017;2030;0
01-11-2017;2030;2
01-12-2017;2030;5
01-01-2017;0016A;0
01-02-2017;0016A;0
01-03-2017;0016A;0
01-04-2017;0016A;0
01-05-2017;0016A;0
01-06-2017;0016A;0
01-07-2017;0016A;0
01-08-2017;0016A;0
01-09-2017;0016A;0
01-10-2017;0016A;0
01-11-2017;0016A;0
01-12-2017;0016A;0
01-01-2017;9981A;0
01-02-2017;9981A;0
01-03-2017;9981A;0
01-04-2017;9981A;0
01-05-2017;9981A;0
01-06-2017;9981A;0
01-07-2017;9981A;0
01-08-2017;9981A;0
01-09-2017;9981A;0
01-10-2017;9981A;0
01-11-2017;9981A;0
01-12-2017;9981A;0
01-01-2017;9381I;3
01-02-2017;9381I;2
01-03-2017;9381I;2
01-04-2017;9381I;0
01-05-2017;9381I;0
01-06-2017;9381I;0
01-07-2017;9381I;0
01-08-2017;9381I;0
01-09-2017;9381I;0
01-10-2017;9381I;0
01-11-2017;9381I;0
01-12-2017;9381I;1
01-01-2017;8368U;2
01-02-2017;8368U;1
01-03-2017;8368U;1
01-04-2017;8368U;2
01-05-2017;8368U;0
01-06-2017;8368U;0
01-07-2017;8368U;0
01-08-2017;8368U;0
01-09-2017;8368U;0
01-10-2017;8368U;0
01-11-2017;8368U;0
01-12-2017;8368U;1
01-01-2017;8416;0
01-02-2017;8416;0
01-03-2017;8416;0
01-04-2017;8416;0
01-05-2017;8416;0
01-06-2017;8416;0
01-07-2017;8416;0
01-08-2017;8416;0
01-09-2017;8416;0
01-10-2017;8416;0
01-11-2017;8416;0
01-12-2017;8416;0
01-01-2017;8414A;0
01-02-2017;8414A;0
01-03-2017;8414A;0
01-04-2017;8414A;0
01-05-2017;8414A;0
01-06-2017;8414A;0
01-07-2017;8414A;0
01-08-2017;8414A;0
01-09-2017;8414A;0
01-10-2017;8414A;0
01-11-2017;8414A;0
01-12-2017;8414A;0
01-01-2017;2422;0
01-02-2017;2422;0
01-03-2017;2422;2
01-04-2017;2422;0
01-05-2017;2422;0
01-06-2017;2422;0
01-07-2017;2422;0
01-08-2017;2422;0
01-09-2017;2422;0
01-10-2017;2422;0
01-11-2017;2422;0
