FECHA;INDICATIVO;LLUVIA_sup_1mm
01-08-2019;C029O;0
01-09-2019;C029O;0
01-10-2019;C029O;1
01-11-2019;C029O;1
01-12-2019;C029O;3
01-01-2019;2661;3
01-02-2019;2661;3
01-03-2019;2661;3
01-04-2019;2661;10
01-05-2019;2661;2
01-06-2019;2661;4
01-07-2019;2661;6
01-08-2019;2661;2
01-09-2019;2661;3
01-10-2019;2661;7
01-11-2019;2661;16
01-12-2019;2661;10
01-01-2019;1549;5
01-02-2019;1549;6
01-03-2019;1549;4
01-04-2019;1549;13
01-05-2019;1549;2
01-06-2019;1549;7
01-07-2019;1549;5
01-08-2019;1549;4
01-09-2019;1549;2
01-10-2019;1549;10
01-11-2019;1549;28
01-12-2019;1549;11
01-01-2019;9771C;4
01-02-2019;9771C;1
01-03-2019;9771C;0
01-04-2019;9771C;6
01-05-2019;9771C;5
01-06-2019;9771C;2
01-07-2019;9771C;1
01-08-2019;9771C;3
01-09-2019;9771C;2
01-10-2019;9771C;6
01-11-2019;9771C;5
01-12-2019;9771C;6
01-01-2019;1505;15
01-02-2019;1505;6
01-03-2019;1505;6
01-04-2019;1505;14
01-05-2019;1505;4
01-06-2019;1505;6
01-07-2019;1505;5
01-08-2019;1505;7
01-09-2019;1505;5
01-10-2019;1505;15
01-11-2019;1505;28
01-12-2019;1505;14
01-01-2019;3191E;5
01-02-2019;3191E;1
01-03-2019;3191E;2
01-04-2019;3191E;14
01-05-2019;3191E;0
01-06-2019;3191E;1
01-07-2019;3191E;1
01-08-2019;3191E;3
01-09-2019;3191E;6
01-10-2019;3191E;6
01-11-2019;3191E;14
01-12-2019;3191E;7
01-01-2019;3129;3
01-02-2019;3129;0
01-03-2019;3129;1
01-04-2019;3129;9
01-05-2019;3129;0
01-06-2019;3129;1
01-07-2019;3129;3
01-08-2019;3129;2
01-09-2019;3129;5
01-10-2019;3129;7
01-11-2019;3129;10
01-12-2019;3129;5
01-01-2019;3196;3
01-02-2019;3196;0
01-03-2019;3196;1
01-04-2019;3196;10
01-05-2019;3196;0
01-06-2019;3196;0
01-07-2019;3196;3
01-08-2019;3196;3
01-09-2019;3196;4
01-10-2019;3196;6
01-11-2019;3196;9
01-12-2019;3196;8
01-01-2019;3200;3
01-02-2019;3200;1
01-03-2019;3200;1
01-04-2019;3200;11
01-05-2019;3200;1
01-06-2019;3200;1
01-07-2019;3200;1
01-08-2019;3200;2
01-09-2019;3200;4
01-10-2019;3200;6
01-11-2019;3200;10
01-12-2019;3200;6
01-01-2019;3195;3
01-02-2019;3195;1
01-03-2019;3195;2
01-04-2019;3195;10
01-05-2019;3195;0
01-06-2019;3195;1
01-07-2019;3195;2
01-08-2019;3195;4
01-09-2019;3195;5
01-10-2019;3195;6
01-11-2019;3195;12
01-12-2019;3195;9
01-01-2019;3175;3
01-02-2019;3175;0
01-03-2019;3175;2
01-04-2019;3175;10
01-05-2019;3175;0
01-06-2019;3175;1
01-07-2019;3175;1
01-08-2019;3175;2
01-09-2019;3175;5
01-10-2019;3175;6
01-11-2019;3175;8
01-12-2019;3175;6
01-01-2019;2462;8
01-02-2019;2462;2
01-03-2019;2462;5
01-04-2019;2462;16
01-05-2019;2462;3
01-06-2019;2462;2
01-07-2019;2462;3
01-08-2019;2462;5
01-09-2019;2462;8
01-10-2019;2462;10
01-11-2019;2462;24
01-12-2019;2462;13
01-01-2019;6155A;1
01-02-2019;6155A;1
01-03-2019;6155A;3
01-04-2019;6155A;8
01-05-2019;6155A;0
01-06-2019;6155A;0
01-07-2019;6155A;0
01-08-2019;6155A;0
01-09-2019;6155A;1
01-10-2019;6155A;1
01-11-2019;6155A;4
01-12-2019;6155A;4
01-01-2019;6000A;2
01-02-2019;6000A;2
01-03-2019;6000A;6
01-04-2019;6000A;5
01-05-2019;6000A;0
01-06-2019;6000A;1
01-07-2019;6000A;0
01-08-2019;6000A;1
01-09-2019;6000A;2
01-10-2019;6000A;2
01-11-2019;6000A;5
01-12-2019;6000A;4
01-01-2019;7178I;0
01-02-2019;7178I;0
01-03-2019;7178I;2
01-04-2019;7178I;7
01-05-2019;7178I;2
01-06-2019;7178I;1
01-07-2019;7178I;0
01-08-2019;7178I;3
01-09-2019;7178I;4
01-10-2019;7178I;3
01-11-2019;7178I;4
01-12-2019;7178I;2
01-01-2019;7228;0
01-02-2019;7228;0
01-03-2019;7228;2
01-04-2019;7228;6
01-05-2019;7228;2
01-06-2019;7228;1
01-07-2019;7228;0
01-08-2019;7228;3
01-09-2019;7228;3
01-10-2019;7228;3
01-11-2019;7228;3
01-12-2019;7228;3
01-01-2019;7031;1
01-02-2019;7031;0
01-03-2019;7031;3
01-04-2019;7031;4
01-05-2019;7031;0
01-06-2019;7031;1
01-07-2019;7031;0
01-08-2019;7031;2
01-09-2019;7031;4
01-10-2019;7031;3
01-11-2019;7031;2
01-12-2019;7031;3
01-01-2019;9262;9
01-02-2019;9262;5
01-03-2019;9262;7
01-04-2019;9262;8
01-05-2019;9262;7
01-06-2019;9262;5
01-07-2019;9262;8
01-08-2019;9262;3
01-09-2019;9262;0
01-10-2019;9262;0
01-11-2019;9262;24
01-12-2019;9262;0
01-01-2019;9263D;11
01-02-2019;9263D;4
01-03-2019;9263D;6
01-04-2019;9263D;8
01-05-2019;9263D;6
01-06-2019;9263D;4
01-07-2019;9263D;10
01-08-2019;9263D;4
01-09-2019;9263D;6
01-10-2019;9263D;7
01-11-2019;9263D;23
01-12-2019;9263D;9
01-01-2019;1690A;6
01-02-2019;1690A;5
01-03-2019;1690A;5
01-04-2019;1690A;12
01-05-2019;1690A;1
01-06-2019;1690A;7
01-07-2019;1690A;2
01-08-2019;1690A;5
01-09-2019;1690A;6
01-10-2019;1690A;12
01-11-2019;1690A;26
01-12-2019;1690A;14
01-01-2019;1484C;9
01-02-2019;1484C;5
01-03-2019;1484C;9
01-04-2019;1484C;15
01-05-2019;1484C;3
01-06-2019;1484C;12
01-07-2019;1484C;6
01-08-2019;1484C;3
01-09-2019;1484C;8
01-10-2019;1484C;16
01-11-2019;1484C;25
01-12-2019;1484C;16
01-01-2019;1495;10
01-02-2019;1495;5
01-03-2019;1495;6
01-04-2019;1495;15
01-05-2019;1495;4
01-06-2019;1495;7
01-07-2019;1495;5
01-08-2019;1495;3
01-09-2019;1495;5
01-10-2019;1495;15
01-11-2019;1495;26
01-12-2019;1495;17
01-01-2019;2867;3
01-02-2019;2867;1
01-03-2019;2867;1
01-04-2019;2867;11
01-05-2019;2867;1
01-06-2019;2867;1
01-07-2019;2867;2
01-08-2019;2867;3
01-09-2019;2867;4
01-10-2019;2867;8
01-11-2019;2867;14
01-12-2019;2867;6
01-01-2019;2870;2
01-02-2019;2870;1
01-03-2019;2870;1
01-04-2019;2870;11
01-05-2019;2870;1
01-06-2019;2870;0
01-07-2019;2870;0
01-08-2019;2870;3
01-09-2019;2870;5
01-10-2019;2870;8
01-11-2019;2870;16
01-12-2019;2870;7
01-01-2019;C929I;1
01-02-2019;C929I;2
01-03-2019;C929I;5
01-04-2019;C929I;3
01-05-2019;C929I;0
01-06-2019;C929I;0
01-07-2019;C929I;0
01-08-2019;C929I;0
01-09-2019;C929I;2
01-10-2019;C929I;1
01-11-2019;C929I;1
01-12-2019;C929I;3
01-01-2019;C430E;2
01-02-2019;C430E;2
01-03-2019;C430E;5
01-04-2019;C430E;2
01-05-2019;C430E;0
01-06-2019;C430E;0
01-07-2019;C430E;0
01-08-2019;C430E;0
01-09-2019;C430E;1
01-10-2019;C430E;3
01-11-2019;C430E;2
01-12-2019;C430E;4
01-01-2019;C139E;6
01-02-2019;C139E;3
01-03-2019;C139E;2
01-04-2019;C139E;2
01-05-2019;C139E;0
01-06-2019;C139E;2
01-07-2019;C139E;0
01-08-2019;C139E;0
01-09-2019;C139E;2
01-10-2019;C139E;3
01-11-2019;C139E;10
01-12-2019;C139E;6
01-01-2019;C449C;3
01-02-2019;C449C;3
01-03-2019;C449C;3
01-04-2019;C449C;2
01-05-2019;C449C;0
01-06-2019;C449C;0
01-07-2019;C449C;0
01-08-2019;C449C;0
01-09-2019;C449C;0
01-10-2019;C449C;2
01-11-2019;C449C;3
01-12-2019;C449C;4
01-01-2019;C447A;7
01-02-2019;C447A;5
01-03-2019;C447A;7
01-04-2019;C447A;5
01-05-2019;C447A;0
01-06-2019;C447A;2
01-07-2019;C447A;1
01-08-2019;C447A;0
01-09-2019;C447A;1
01-10-2019;C447A;3
01-11-2019;C447A;10
01-12-2019;C447A;8
01-01-2019;C429I;0
01-02-2019;C429I;0
