FECHA;INDICATIVO;DIAS_NUB
01-03-2020;C139E;25
01-04-2020;C139E;26
01-05-2020;C139E;23
01-06-2020;C139E;26
01-07-2020;C139E;23
01-08-2020;C139E;21
01-09-2020;C139E;19
01-10-2020;C139E;23
01-11-2020;C139E;25
01-12-2020;C139E;25
01-01-2020;C447A;18
01-02-2020;C447A;14
01-03-2020;C447A;16
01-04-2020;C447A;26
01-05-2020;C447A;19
01-06-2020;C447A;0
01-07-2020;C447A;0
01-08-2020;C447A;19
01-09-2020;C447A;14
01-10-2020;C447A;18
01-11-2020;C447A;21
01-12-2020;C447A;21
01-01-2020;C429I;20
01-02-2020;C429I;10
01-03-2020;C429I;22
01-04-2020;C429I;27
01-05-2020;C429I;18
01-06-2020;C429I;18
01-07-2020;C429I;5
01-08-2020;C429I;8
01-09-2020;C429I;13
01-10-2020;C429I;22
01-11-2020;C429I;22
01-12-2020;C429I;29
01-01-2020;5796;16
01-02-2020;5796;20
01-03-2020;5796;24
01-04-2020;5796;0
01-05-2020;5796;0
01-06-2020;5796;14
01-07-2020;5796;5
01-08-2020;5796;5
01-09-2020;5796;19
01-10-2020;5796;18
01-11-2020;5796;17
01-12-2020;5796;18
01-01-2020;5783;13
01-02-2020;5783;16
01-03-2020;5783;26
01-04-2020;5783;0
01-05-2020;5783;0
01-06-2020;5783;13
01-07-2020;5783;6
01-08-2020;5783;7
01-09-2020;5783;19
01-10-2020;5783;17
01-11-2020;5783;18
01-12-2020;5783;17
01-01-2020;0016A;17
01-02-2020;0016A;15
01-03-2020;0016A;21
01-04-2020;0016A;0
01-05-2020;0016A;0
01-06-2020;0016A;0
01-07-2020;0016A;21
01-08-2020;0016A;24
01-09-2020;0016A;22
01-10-2020;0016A;20
01-11-2020;0016A;13
01-12-2020;0016A;26
01-01-2020;9981A;18
01-02-2020;9981A;17
01-03-2020;9981A;18
01-04-2020;9981A;14
01-05-2020;9981A;20
01-06-2020;9981A;23
01-07-2020;9981A;17
01-08-2020;9981A;22
01-09-2020;9981A;20
01-10-2020;9981A;23
01-11-2020;9981A;16
01-12-2020;9981A;26
01-01-2020;9381I;0
01-02-2020;9381I;0
01-03-2020;9381I;0
01-04-2020;9381I;16
01-05-2020;9381I;0
01-06-2020;9381I;0
01-07-2020;9381I;0
01-08-2020;9381I;0
01-09-2020;9381I;0
01-10-2020;9381I;0
01-11-2020;9381I;0
01-12-2020;9381I;24
01-01-2020;8414A;13
01-02-2020;8414A;17
01-03-2020;8414A;17
01-04-2020;8414A;20
01-05-2020;8414A;21
01-06-2020;8414A;19
01-07-2020;8414A;15
01-08-2020;8414A;18
01-09-2020;8414A;20
01-10-2020;8414A;19
01-11-2020;8414A;16
01-12-2020;8414A;23
01-01-2020;2422;18
01-02-2020;2422;20
01-03-2020;2422;22
01-04-2020;2422;19
01-05-2020;2422;22
01-06-2020;2422;20
01-07-2020;2422;13
01-08-2020;2422;19
01-09-2020;2422;18
01-10-2020;2422;23
01-11-2020;2422;17
01-12-2020;2422;16
01-01-2020;2539;15
01-02-2020;2539;17
01-03-2020;2539;18
01-04-2020;2539;0
01-05-2020;2539;0
01-06-2020;2539;0
01-07-2020;2539;8
01-08-2020;2539;20
01-09-2020;2539;17
01-10-2020;2539;20
01-11-2020;2539;16
01-12-2020;2539;15
01-01-2020;9390;12
01-02-2020;9390;19
01-03-2020;9390;20
01-04-2020;9390;15
01-05-2020;9390;20
01-06-2020;9390;21
01-07-2020;9390;12
01-08-2020;9390;13
01-09-2020;9390;14
01-10-2020;9390;20
01-11-2020;9390;17
01-12-2020;9390;26
01-01-2020;9434;13
01-02-2020;9434;16
01-03-2020;9434;21
01-04-2020;9434;17
01-05-2020;9434;17
01-06-2020;9434;23
01-07-2020;9434;12
01-08-2020;9434;15
01-09-2020;9434;17
01-10-2020;9434;24
01-11-2020;9434;10
01-12-2020;9434;23
