FECHA;INDICATIVO;DIAS_GRA
01-11-2021;9981A;2
01-12-2021;9981A;0
01-01-2021;9381I;0
01-02-2021;9381I;0
01-03-2021;9381I;0
01-04-2021;9381I;0
01-05-2021;9381I;1
01-06-2021;9381I;2
01-07-2021;9381I;0
01-08-2021;9381I;0
01-09-2021;9381I;0
01-10-2021;9381I;0
01-11-2021;9381I;0
01-12-2021;9381I;0
01-01-2021;8368U;0
01-02-2021;8368U;0
01-03-2021;8368U;0
01-04-2021;8368U;0
01-05-2021;8368U;2
01-06-2021;8368U;0
01-07-2021;8368U;0
01-08-2021;8368U;1
01-09-2021;8368U;0
01-10-2021;8368U;0
01-11-2021;8368U;0
01-12-2021;8368U;0
01-01-2021;3260B;0
01-02-2021;3260B;0
01-03-2021;3260B;0
01-04-2021;3260B;0
01-05-2021;3260B;0
01-06-2021;3260B;0
01-07-2021;3260B;0
01-08-2021;3260B;0
01-09-2021;3260B;0
01-10-2021;3260B;0
01-11-2021;3260B;0
01-12-2021;3260B;0
01-01-2021;8416;0
01-02-2021;8416;0
01-03-2021;8416;0
01-04-2021;8416;0
01-05-2021;8416;1
01-06-2021;8416;0
01-07-2021;8416;0
01-08-2021;8416;1
01-09-2021;8416;2
01-10-2021;8416;0
01-11-2021;8416;0
01-12-2021;8416;0
01-01-2021;8414A;0
01-02-2021;8414A;0
01-03-2021;8414A;0
01-04-2021;8414A;0
01-05-2021;8414A;0
01-06-2021;8414A;0
01-07-2021;8414A;0
01-08-2021;8414A;1
01-09-2021;8414A;0
01-10-2021;8414A;0
01-11-2021;8414A;0
01-12-2021;8414A;0
01-01-2021;2422;0
01-02-2021;2422;0
01-03-2021;2422;0
01-04-2021;2422;1
01-05-2021;2422;2
01-06-2021;2422;1
01-07-2021;2422;0
01-08-2021;2422;0
01-09-2021;2422;0
01-10-2021;2422;0
01-11-2021;2422;0
01-12-2021;2422;0
01-01-2021;2539;0
01-02-2021;2539;0
01-03-2021;2539;0
01-04-2021;2539;1
01-05-2021;2539;1
01-06-2021;2539;1
01-07-2021;2539;0
01-08-2021;2539;0
01-09-2021;2539;0
01-10-2021;2539;0
01-11-2021;2539;0
01-12-2021;2539;0
01-01-2021;2614;0
01-02-2021;2614;0
01-03-2021;2614;0
01-04-2021;2614;1
01-05-2021;2614;0
01-06-2021;2614;3
01-07-2021;2614;0
01-08-2021;2614;1
01-09-2021;2614;3
01-10-2021;2614;0
01-11-2021;2614;0
01-12-2021;2614;0
01-01-2021;9390;0
01-02-2021;9390;1
01-03-2021;9390;0
01-04-2021;9390;1
01-05-2021;9390;0
01-06-2021;9390;0
01-07-2021;9390;0
01-08-2021;9390;0
01-09-2021;9390;1
01-10-2021;9390;0
01-11-2021;9390;0
01-12-2021;9390;0
01-01-2021;9434;0
01-02-2021;9434;0
01-03-2021;9434;0
01-04-2021;9434;0
01-05-2021;9434;1
01-06-2021;9434;1
01-07-2021;9434;0
01-08-2021;9434;0
01-09-2021;9434;0
01-10-2021;9434;0
01-11-2021;9434;0
01-12-2021;9434;0
