FECHA;INDICATIVO;DIAS_SOL
01-02-2020;8414A;9
01-03-2020;8414A;2
01-04-2020;8414A;2
01-05-2020;8414A;7
01-06-2020;8414A;11
01-07-2020;8414A;14
01-08-2020;8414A;12
01-09-2020;8414A;8
01-10-2020;8414A;8
01-11-2020;8414A;7
01-12-2020;8414A;7
01-01-2020;2422;0
01-02-2020;2422;6
01-03-2020;2422;2
01-04-2020;2422;1
01-05-2020;2422;4
01-06-2020;2422;7
01-07-2020;2422;17
01-08-2020;2422;9
01-09-2020;2422;9
01-10-2020;2422;4
01-11-2020;2422;5
01-12-2020;2422;2
01-01-2020;2539;0
01-02-2020;2539;6
01-03-2020;2539;2
01-04-2020;2539;0
01-05-2020;2539;0
01-06-2020;2539;0
01-07-2020;2539;22
01-08-2020;2539;8
01-09-2020;2539;9
01-10-2020;2539;3
01-11-2020;2539;4
01-12-2020;2539;1
01-01-2020;9390;8
01-02-2020;9390;8
01-03-2020;9390;2
01-04-2020;9390;0
01-05-2020;9390;6
01-06-2020;9390;6
01-07-2020;9390;17
01-08-2020;9390;16
01-09-2020;9390;11
01-10-2020;9390;7
01-11-2020;9390;5
01-12-2020;9390;0
01-01-2020;9434;5
01-02-2020;9434;10
01-03-2020;9434;2
01-04-2020;9434;2
01-05-2020;9434;9
01-06-2020;9434;5
01-07-2020;9434;18
01-08-2020;9434;14
01-09-2020;9434;9
01-10-2020;9434;4
01-11-2020;9434;8
01-12-2020;9434;0
