FECHA;INDICATIVO;INSOLACION
01-10-2016;9381I;6.5
01-11-2016;9381I;4.8
01-12-2016;9381I;4.4
01-01-2016;8368U;4.5
01-02-2016;8368U;5.7
01-03-2016;8368U;0
01-04-2016;8368U;7.5
01-05-2016;8368U;8.6
01-06-2016;8368U;10.3
01-07-2016;8368U;11.0
01-08-2016;8368U;0
01-09-2016;8368U;8.5
01-10-2016;8368U;5.8
01-11-2016;8368U;4.2
01-12-2016;8368U;3.8
01-01-2016;3260B;4.2
01-02-2016;3260B;5.6
01-03-2016;3260B;8.6
01-04-2016;3260B;8.0
01-05-2016;3260B;8.4
01-06-2016;3260B;13.0
01-07-2016;3260B;12.7
01-08-2016;3260B;12.4
01-09-2016;3260B;10.6
01-10-2016;3260B;7.0
01-11-2016;3260B;5.7
01-12-2016;3260B;0
01-01-2016;8416;4.6
01-02-2016;8416;6.0
01-03-2016;8416;0
01-04-2016;8416;7.9
01-05-2016;8416;8.3
01-06-2016;8416;0
01-07-2016;8416;10.0
01-08-2016;8416;10.1
01-09-2016;8416;8.6
01-10-2016;8416;0
01-11-2016;8416;5.4
01-12-2016;8416;4.6
01-01-2016;8414A;5.4
01-02-2016;8414A;6.9
01-03-2016;8414A;7.2
01-04-2016;8414A;8.3
01-05-2016;8414A;9.4
01-06-2016;8414A;11.6
01-07-2016;8414A;11.3
01-08-2016;8414A;10.9
01-09-2016;8414A;9.2
01-10-2016;8414A;6.1
01-11-2016;8414A;5.6
01-12-2016;8414A;5.4
01-01-2016;2422;2.4
01-02-2016;2422;4.9
01-03-2016;2422;6.8
01-04-2016;2422;7.2
01-05-2016;2422;8.1
01-06-2016;2422;12.0
01-07-2016;2422;12.4
01-08-2016;2422;11.5
01-09-2016;2422;9.4
01-10-2016;2422;7.0
01-11-2016;2422;3.9
01-12-2016;2422;3.1
01-01-2016;2539;2.6
01-02-2016;2539;4.7
01-03-2016;2539;5.9
01-04-2016;2539;6.3
01-05-2016;2539;8.1
01-06-2016;2539;12.1
