FECHA;INDICATIVO;VIENTO_sup_55
01-06-2018;8368U;0
01-07-2018;8368U;1
01-08-2018;8368U;1
01-09-2018;8368U;0
01-10-2018;8368U;1
01-11-2018;8368U;0
01-12-2018;8368U;1
01-01-2018;3260B;1
01-02-2018;3260B;1
01-03-2018;3260B;12
01-04-2018;3260B;6
01-05-2018;3260B;2
01-06-2018;3260B;1
01-07-2018;3260B;1
01-08-2018;3260B;1
01-09-2018;3260B;1
01-10-2018;3260B;0
01-11-2018;3260B;2
01-12-2018;3260B;2
01-01-2018;8414A;8
01-02-2018;8414A;4
01-03-2018;8414A;17
01-04-2018;8414A;10
01-05-2018;8414A;1
01-06-2018;8414A;0
01-07-2018;8414A;1
01-08-2018;8414A;3
01-09-2018;8414A;0
01-10-2018;8414A;3
01-11-2018;8414A;0
01-12-2018;8414A;3
01-01-2018;2422;0
01-02-2018;2422;0
01-03-2018;2422;7
01-04-2018;2422;3
01-05-2018;2422;0
01-06-2018;2422;0
01-07-2018;2422;1
01-08-2018;2422;0
01-09-2018;2422;0
01-10-2018;2422;1
01-11-2018;2422;1
01-12-2018;2422;0
01-01-2018;2614;0
01-02-2018;2614;0
01-03-2018;2614;3
01-04-2018;2614;1
01-05-2018;2614;0
01-06-2018;2614;0
01-07-2018;2614;0
01-08-2018;2614;0
01-09-2018;2614;0
01-10-2018;2614;1
01-11-2018;2614;0
01-12-2018;2614;0
01-01-2018;9390;1
01-02-2018;9390;0
01-03-2018;9390;0
01-04-2018;9390;2
01-05-2018;9390;0
01-06-2018;9390;0
01-07-2018;9390;0
01-08-2018;9390;2
01-09-2018;9390;0
01-10-2018;9390;0
01-11-2018;9390;2
01-12-2018;9390;1
01-01-2018;9434;7
01-02-2018;9434;14
01-03-2018;9434;15
01-04-2018;9434;4
01-05-2018;9434;11
01-06-2018;9434;7
01-07-2018;9434;7
01-08-2018;9434;9
01-09-2018;9434;1
01-10-2018;9434;8
01-11-2018;9434;4
01-12-2018;9434;4
