FECHA;INDICATIVO;TEMP_sup_30
01-06-2019;3175;17
01-07-2019;3175;29
01-08-2019;3175;28
01-09-2019;3175;8
01-10-2019;3175;0
01-11-2019;3175;0
01-12-2019;3175;0
01-01-2019;2462;0
01-02-2019;2462;0
01-03-2019;2462;0
01-04-2019;2462;0
01-05-2019;2462;0
01-06-2019;2462;2
01-07-2019;2462;1
01-08-2019;2462;0
01-09-2019;2462;0
01-10-2019;2462;0
01-11-2019;2462;0
01-12-2019;2462;0
01-01-2019;6155A;0
01-02-2019;6155A;0
01-03-2019;6155A;0
01-04-2019;6155A;0
01-05-2019;6155A;3
01-06-2019;6155A;12
01-07-2019;6155A;23
01-08-2019;6155A;19
01-09-2019;6155A;7
01-10-2019;6155A;3
01-11-2019;6155A;0
01-12-2019;6155A;0
01-01-2019;6000A;0
01-02-2019;6000A;0
01-03-2019;6000A;0
01-04-2019;6000A;0
01-05-2019;6000A;1
01-06-2019;6000A;2
01-07-2019;6000A;7
01-08-2019;6000A;12
01-09-2019;6000A;1
01-10-2019;6000A;2
01-11-2019;6000A;0
01-12-2019;6000A;0
01-01-2019;7178I;0
01-02-2019;7178I;0
01-03-2019;7178I;0
01-04-2019;7178I;0
01-05-2019;7178I;7
01-06-2019;7178I;24
01-07-2019;7178I;31
01-08-2019;7178I;30
01-09-2019;7178I;16
01-10-2019;7178I;7
01-11-2019;7178I;0
01-12-2019;7178I;0
01-01-2019;7228;0
01-02-2019;7228;0
01-03-2019;7228;0
01-04-2019;7228;0
01-05-2019;7228;7
01-06-2019;7228;24
01-07-2019;7228;31
01-08-2019;7228;30
01-09-2019;7228;19
01-10-2019;7228;8
01-11-2019;7228;0
01-12-2019;7228;0
01-01-2019;7031;0
01-02-2019;7031;0
01-03-2019;7031;0
01-04-2019;7031;0
01-05-2019;7031;0
01-06-2019;7031;4
01-07-2019;7031;9
01-08-2019;7031;10
01-09-2019;7031;3
01-10-2019;7031;3
01-11-2019;7031;0
01-12-2019;7031;0
01-01-2019;9262;0
01-02-2019;9262;0
01-03-2019;9262;0
01-04-2019;9262;0
01-05-2019;9262;0
01-06-2019;9262;15
01-07-2019;9262;14
01-08-2019;9262;18
01-09-2019;9262;3
01-10-2019;9262;0
01-11-2019;9262;0
01-12-2019;9262;0
01-01-2019;9263D;0
01-02-2019;9263D;0
01-03-2019;9263D;0
01-04-2019;9263D;0
01-05-2019;9263D;0
01-06-2019;9263D;15
01-07-2019;9263D;0
01-08-2019;9263D;19
01-09-2019;9263D;7
01-10-2019;9263D;0
01-11-2019;9263D;0
01-12-2019;9263D;0
01-01-2019;1690A;0
01-02-2019;1690A;0
01-03-2019;1690A;0
01-04-2019;1690A;0
01-05-2019;1690A;7
01-06-2019;1690A;3
01-07-2019;1690A;20
01-08-2019;1690A;20
01-09-2019;1690A;9
01-10-2019;1690A;0
01-11-2019;1690A;0
01-12-2019;1690A;0
01-01-2019;1484C;0
01-02-2019;1484C;0
01-03-2019;1484C;0
01-04-2019;1484C;0
01-05-2019;1484C;3
01-06-2019;1484C;0
01-07-2019;1484C;4
01-08-2019;1484C;2
01-09-2019;1484C;5
01-10-2019;1484C;0
01-11-2019;1484C;0
01-12-2019;1484C;0
01-01-2019;1495;0
01-02-2019;1495;0
01-03-2019;1495;0
01-04-2019;1495;0
01-05-2019;1495;2
01-06-2019;1495;1
01-07-2019;1495;4
01-08-2019;1495;1
01-09-2019;1495;6
01-10-2019;1495;0
01-11-2019;1495;0
01-12-2019;1495;0
01-01-2019;2867;0
01-02-2019;2867;0
01-03-2019;2867;0
01-04-2019;2867;0
01-05-2019;2867;2
01-06-2019;2867;10
01-07-2019;2867;23
01-08-2019;2867;20
01-09-2019;2867;3
01-10-2019;2867;0
01-11-2019;2867;0
01-12-2019;2867;0
01-01-2019;2870;0
01-02-2019;2870;0
01-03-2019;2870;0
01-04-2019;2870;0
01-05-2019;2870;3
01-06-2019;2870;0
01-07-2019;2870;0
01-08-2019;2870;20
01-09-2019;2870;2
01-10-2019;2870;0
01-11-2019;2870;0
01-12-2019;2870;0
01-01-2019;C929I;0
01-02-2019;C929I;0
01-03-2019;C929I;0
01-04-2019;C929I;0
01-05-2019;C929I;0
01-06-2019;C929I;0
01-07-2019;C929I;0
01-08-2019;C929I;0
01-09-2019;C929I;0
01-10-2019;C929I;0
01-11-2019;C929I;0
01-12-2019;C929I;0
01-01-2019;C430E;0
01-02-2019;C430E;0
01-03-2019;C430E;0
01-04-2019;C430E;0
01-05-2019;C430E;0
01-06-2019;C430E;0
01-07-2019;C430E;0
01-08-2019;C430E;0
01-09-2019;C430E;0
01-10-2019;C430E;0
01-11-2019;C430E;0
01-12-2019;C430E;0
01-01-2019;C139E;0
01-02-2019;C139E;0
01-03-2019;C139E;0
01-04-2019;C139E;0
01-05-2019;C139E;0
01-06-2019;C139E;0
01-07-2019;C139E;0
01-08-2019;C139E;1
01-09-2019;C139E;0
01-10-2019;C139E;0
01-11-2019;C139E;0
01-12-2019;C139E;0
01-01-2019;C449C;0
01-02-2019;C449C;0
01-03-2019;C449C;0
01-04-2019;C449C;0
01-05-2019;C449C;1
01-06-2019;C449C;2
01-07-2019;C449C;4
01-08-2019;C449C;11
01-09-2019;C449C;1
01-10-2019;C449C;2
01-11-2019;C449C;1
01-12-2019;C449C;0
01-01-2019;C447A;0
01-02-2019;C447A;0
01-03-2019;C447A;0
01-04-2019;C447A;0
01-05-2019;C447A;0
01-06-2019;C447A;2
01-07-2019;C447A;0
01-08-2019;C447A;7
01-09-2019;C447A;1
01-10-2019;C447A;3
01-11-2019;C447A;0
01-12-2019;C447A;0
01-01-2019;C429I;0
01-02-2019;C429I;0
01-03-2019;C429I;0
01-04-2019;C429I;0
01-05-2019;C429I;0
01-06-2019;C429I;1
01-07-2019;C429I;1
01-08-2019;C429I;8
01-09-2019;C429I;2
01-10-2019;C429I;3
01-11-2019;C429I;2
01-12-2019;C429I;0
01-01-2019;2465;0
01-02-2019;2465;0
01-03-2019;2465;0
01-04-2019;2465;0
01-05-2019;2465;0
01-06-2019;2465;10
01-07-2019;2465;21
01-08-2019;2465;16
01-09-2019;2465;1
01-10-2019;2465;0
01-11-2019;2465;0
01-12-2019;2465;0
01-01-2019;5796;0
01-02-2019;5796;0
01-03-2019;5796;0
01-04-2019;5796;0
01-05-2019;5796;14
01-06-2019;5796;16
01-07-2019;5796;25
01-08-2019;5796;31
01-09-2019;5796;21
01-10-2019;5796;11
01-11-2019;5796;0
01-12-2019;5796;0
01-01-2019;5783;0
01-02-2019;5783;0
01-03-2019;5783;0
01-04-2019;5783;2
01-05-2019;5783;19
01-06-2019;5783;22
01-07-2019;5783;0
01-08-2019;5783;0
01-09-2019;5783;23
01-10-2019;5783;12
01-11-2019;5783;0
01-12-2019;5783;0
01-01-2019;2030;0
01-02-2019;2030;0
01-03-2019;2030;0
01-04-2019;2030;0
01-05-2019;2030;0
01-06-2019;2030;10
01-07-2019;2030;18
01-08-2019;2030;18
01-09-2019;2030;0
01-10-2019;2030;0
01-11-2019;2030;0
01-12-2019;2030;0
01-01-2019;0016A;0
01-02-2019;0016A;0
01-03-2019;0016A;0
01-04-2019;0016A;0
01-05-2019;0016A;0
01-06-2019;0016A;6
01-07-2019;0016A;29
01-08-2019;0016A;26
01-09-2019;0016A;3
01-10-2019;0016A;0
01-11-2019;0016A;0
01-12-2019;0016A;0
01-01-2019;9981A;0
01-02-2019;9981A;0
01-03-2019;9981A;0
01-04-2019;9981A;0
01-05-2019;9981A;0
01-06-2019;9981A;19
01-07-2019;9981A;30
01-08-2019;9981A;29
01-09-2019;9981A;23
01-10-2019;9981A;4
01-11-2019;9981A;0
01-12-2019;9981A;0
01-01-2019;9381I;0
01-02-2019;9381I;0
01-03-2019;9381I;0
01-04-2019;9381I;0
01-05-2019;9381I;0
01-06-2019;9381I;16
01-07-2019;9381I;24
01-08-2019;9381I;23
01-09-2019;9381I;3
01-10-2019;9381I;0
01-11-2019;9381I;0
01-12-2019;9381I;0
01-01-2019;8368U;0
01-02-2019;8368U;0
01-03-2019;8368U;0
01-04-2019;8368U;0
01-05-2019;8368U;0
01-06-2019;8368U;17
01-07-2019;8368U;26
01-08-2019;8368U;23
01-09-2019;8368U;5
01-10-2019;8368U;0
01-11-2019;8368U;0
01-12-2019;8368U;0
01-01-2019;3260B;0
01-02-2019;3260B;0
01-03-2019;3260B;0
01-04-2019;3260B;0
01-05-2019;3260B;9
01-06-2019;3260B;20
01-07-2019;3260B;30
01-08-2019;3260B;29
01-09-2019;3260B;0
01-10-2019;3260B;0
01-11-2019;3260B;0
01-12-2019;3260B;0
01-01-2019;8416;0
01-02-2019;8416;0
01-03-2019;8416;0
01-04-2019;8416;1
01-05-2019;8416;1
01-06-2019;8416;5
01-07-2019;8416;20
01-08-2019;8416;19
01-09-2019;8416;3
01-10-2019;8416;2
01-11-2019;8416;1
01-12-2019;8416;0
01-01-2019;8414A;0
01-02-2019;8414A;0
01-03-2019;8414A;0
01-04-2019;8414A;1
01-05-2019;8414A;1
01-06-2019;8414A;8
01-07-2019;8414A;29
01-08-2019;8414A;26
01-09-2019;8414A;8
01-10-2019;8414A;3
01-11-2019;8414A;0
01-12-2019;8414A;0
01-01-2019;2422;0
01-02-2019;2422;0
01-03-2019;2422;0
01-04-2019;2422;0
01-05-2019;2422;2
01-06-2019;2422;12
01-07-2019;2422;23
01-08-2019;2422;20
01-09-2019;2422;2
01-10-2019;2422;0
01-11-2019;2422;0
01-12-2019;2422;0
01-01-2019;2539;0
01-02-2019;2539;0
01-03-2019;2539;0
01-04-2019;2539;0
01-05-2019;2539;0
01-06-2019;2539;7
01-07-2019;2539;19
01-08-2019;2539;17
01-09-2019;2539;0
01-10-2019;2539;0
01-11-2019;2539;0
01-12-2019;2539;0
01-01-2019;2614;0
01-02-2019;2614;0
01-03-2019;2614;0
01-04-2019;2614;0
01-05-2019;2614;4
01-06-2019;2614;10
01-07-2019;2614;25
01-08-2019;2614;20
01-09-2019;2614;4
01-10-2019;2614;0
01-11-2019;2614;0
01-12-2019;2614;0
01-01-2019;9390;0
01-02-2019;9390;0
01-03-2019;9390;0
01-04-2019;9390;0
01-05-2019;9390;0
