FECHA;INDICATIVO;EVAPORACION
01-07-2018;2867;2386
01-08-2018;2867;2396
01-09-2018;2867;1826
01-10-2018;2867;1171
01-11-2018;2867;650
01-12-2018;2867;360
01-01-2018;C929I;603
01-02-2018;C929I;466
01-03-2018;C929I;515
01-04-2018;C929I;602
01-05-2018;C929I;498
01-06-2018;C929I;379
01-07-2018;C929I;334
01-08-2018;C929I;312
01-09-2018;C929I;255
01-10-2018;C929I;363
01-11-2018;C929I;384
01-12-2018;C929I;394
01-01-2018;C449C;0
01-02-2018;C449C;988
01-03-2018;C449C;0
01-04-2018;C449C;0
01-05-2018;C449C;0
01-06-2018;C449C;0
01-07-2018;C449C;0
01-08-2018;C449C;0
01-09-2018;C449C;0
01-10-2018;C449C;0
01-11-2018;C449C;0
01-12-2018;C449C;0
01-01-2018;C447A;665
01-02-2018;C447A;0
01-03-2018;C447A;768
01-04-2018;C447A;733
01-05-2018;C447A;936
01-06-2018;C447A;894
01-07-2018;C447A;0
01-08-2018;C447A;0
01-09-2018;C447A;1213
01-10-2018;C447A;680
01-11-2018;C447A;575
01-12-2018;C447A;1210
01-01-2018;2465;471
01-02-2018;2465;0
01-03-2018;2465;589
01-04-2018;2465;0
01-05-2018;2465;1018
01-06-2018;2465;0
01-07-2018;2465;0
01-08-2018;2465;0
01-09-2018;2465;0
01-10-2018;2465;986
01-11-2018;2465;498
01-12-2018;2465;490
01-01-2018;5796;738
01-02-2018;5796;996
01-03-2018;5796;919
01-04-2018;5796;1181
01-05-2018;5796;1690
01-06-2018;5796;2173
01-07-2018;5796;2718
01-08-2018;5796;3505
01-09-2018;5796;2480
01-10-2018;5796;1497
01-11-2018;5796;642
01-12-2018;5796;708
01-01-2018;5783;1036
01-02-2018;5783;1387
01-03-2018;5783;1309
01-04-2018;5783;1971
01-05-2018;5783;2463
01-06-2018;5783;2930
01-07-2018;5783;3525
01-08-2018;5783;4763
01-09-2018;5783;3091
01-10-2018;5783;0
01-11-2018;5783;819
01-12-2018;5783;1096
01-01-2018;0016A;1443
01-02-2018;0016A;876
01-03-2018;0016A;1493
01-04-2018;0016A;1045
01-05-2018;0016A;0
01-06-2018;0016A;1461
01-07-2018;0016A;1594
01-08-2018;0016A;1875
01-09-2018;0016A;940
01-10-2018;0016A;946
01-11-2018;0016A;542
01-12-2018;0016A;597
01-01-2018;9981A;1250
01-02-2018;9981A;958
01-03-2018;9981A;1303
01-04-2018;9981A;1156
01-05-2018;9981A;1484
01-06-2018;9981A;1966
01-07-2018;9981A;1907
01-08-2018;9981A;1997
01-09-2018;9981A;1274
01-10-2018;9981A;1058
01-11-2018;9981A;561
01-12-2018;9981A;745
01-01-2018;8368U;0
01-02-2018;8368U;0
01-03-2018;8368U;0
01-04-2018;8368U;0
01-05-2018;8368U;0
01-06-2018;8368U;0
01-07-2018;8368U;0
01-08-2018;8368U;0
01-09-2018;8368U;0
01-10-2018;8368U;0
01-11-2018;8368U;483
01-12-2018;8368U;0
01-01-2018;8414A;843
01-02-2018;8414A;641
01-03-2018;8414A;1301
01-04-2018;8414A;1151
01-05-2018;8414A;1227
01-06-2018;8414A;1403
01-07-2018;8414A;1576
01-08-2018;8414A;1467
01-09-2018;8414A;886
01-10-2018;8414A;828
01-11-2018;8414A;748
01-12-2018;8414A;610
01-01-2018;2422;0
01-02-2018;2422;486
01-03-2018;2422;652
01-04-2018;2422;816
01-05-2018;2422;1102
01-06-2018;2422;1139
01-07-2018;2422;1886
01-08-2018;2422;2147
01-09-2018;2422;1505
01-10-2018;2422;976
01-11-2018;2422;345
01-12-2018;2422;225
01-01-2018;2539;270
01-02-2018;2539;403
01-03-2018;2539;0
01-04-2018;2539;1128
01-05-2018;2539;1373
01-06-2018;2539;1276
01-07-2018;2539;2194
01-08-2018;2539;2867
01-09-2018;2539;2221
01-10-2018;2539;1274
01-11-2018;2539;459
01-12-2018;2539;0
01-01-2018;2614;0
01-02-2018;2614;0
01-03-2018;2614;0
01-04-2018;2614;651
01-05-2018;2614;746
01-06-2018;2614;0
01-07-2018;2614;0
01-08-2018;2614;0
01-09-2018;2614;0
01-10-2018;2614;0
01-11-2018;2614;0
01-12-2018;2614;0
01-01-2018;9390;601
01-02-2018;9390;233
01-03-2018;9390;1238
01-04-2018;9390;1178
01-05-2018;9390;1102
01-06-2018;9390;1375
01-07-2018;9390;2203
01-08-2018;9390;2249
01-09-2018;9390;1455
01-10-2018;9390;1039
