FECHA;INDICATIVO;TEMP_MAX
01-11-2018;C029O;25.8(01)
01-12-2018;C029O;25.8(06)
01-01-2018;2661;14.5(03)
01-02-2018;2661;14.7(26)
01-03-2018;2661;18.6(27)
01-04-2018;2661;25.6(25)
01-05-2018;2661;24.1(07)
01-06-2018;2661;32.9(24)
01-07-2018;2661;29.8(24)
01-08-2018;2661;35.3(06)
01-09-2018;2661;31.2(02)
01-10-2018;2661;27.1(04)
01-11-2018;2661;16.3(02)
01-12-2018;2661;18.9(31)
01-01-2018;1549;16.4(03)
01-02-2018;1549;20.1(26)
01-03-2018;1549;20.1(27)
01-04-2018;1549;29.9(24)
01-05-2018;1549;29.7(07)
01-06-2018;1549;36.6(25)
01-07-2018;1549;32.8(23)
01-08-2018;1549;38.2(03)
01-09-2018;1549;35.3(02)
01-10-2018;1549;30.5(04)
01-11-2018;1549;19.7(02)
01-12-2018;1549;16.5(06)
01-01-2018;9771C;20.9(21)
01-02-2018;9771C;19.5(15)
01-03-2018;9771C;23.9(28)
01-04-2018;9771C;29.2(25)
01-05-2018;9771C;29.9(24)
01-06-2018;9771C;36.0(21)
01-07-2018;9771C;38.0(26)
01-08-2018;9771C;39.1(02)
01-09-2018;9771C;33.9(23)
01-10-2018;9771C;28.5(12)
01-11-2018;9771C;22.0(12)
01-12-2018;9771C;17.8(09)
01-01-2018;1505;14.9(03)
01-02-2018;1505;14.9(25)
01-03-2018;1505;17.8(27)
01-04-2018;1505;27.0(18)
01-05-2018;1505;26.2(07)
01-06-2018;1505;33.6(24)
01-07-2018;1505;32.0(23)
01-08-2018;1505;35.6(03)
01-09-2018;1505;32.3(02)
01-10-2018;1505;30.4(04)
01-11-2018;1505;20.4(16)
01-12-2018;1505;18.0(04)
01-01-2018;3191E;16.6(21)
01-02-2018;3191E;14.5(26)
01-03-2018;3191E;18.7(28)
01-04-2018;3191E;25.3(25)
01-05-2018;3191E;24.5(24)
01-06-2018;3191E;33.6(24)
01-07-2018;3191E;32.1(31)
01-08-2018;3191E;36.9(03)
01-09-2018;3191E;33.2(02)
01-10-2018;3191E;25.2(04)
01-11-2018;3191E;17.2(13)
01-12-2018;3191E;16.2(09)
01-01-2018;3195;16.2(21)
01-02-2018;3195;16.0(26)
01-03-2018;3195;20.8(28)
01-04-2018;3195;28.5(25)
01-05-2018;3195;27.7(24)
01-06-2018;3195;36.6(24)
01-07-2018;3195;35.3(31)
01-08-2018;3195;39.9(03)
01-09-2018;3195;34.8(02)
01-10-2018;3195;27.1(06)
01-11-2018;3195;18.0(02)
01-12-2018;3195;16.0(05)
01-01-2018;3129;17.7(21)
01-02-2018;3129;17.4(26)
01-03-2018;3129;21.3(28)
01-04-2018;3129;28.5(25)
01-05-2018;3129;28.4(24)
01-06-2018;3129;37.5(24)
01-07-2018;3129;35.8(31)
01-08-2018;3129;40.5(03)
01-09-2018;3129;36.0(02)
01-10-2018;3129;28.6(06)
01-11-2018;3129;19.4(02)
01-12-2018;3129;17.2(05)
01-01-2018;3196;18.7(21)
01-02-2018;3196;16.8(26)
01-03-2018;3196;21.0(28)
01-04-2018;3196;28.5(25)
01-05-2018;3196;28.0(24)
01-06-2018;3196;37.0(24)
01-07-2018;3196;35.2(31)
01-08-2018;3196;40.8(03)
01-09-2018;3196;35.6(02)
01-10-2018;3196;28.3(04)
01-11-2018;3196;19.0(02)
01-12-2018;3196;18.4(05)
01-01-2018;3200;18.4(21)
01-02-2018;3200;17.4(26)
01-03-2018;3200;20.8(28)
01-04-2018;3200;29.0(25)
01-05-2018;3200;28.2(24)
01-06-2018;3200;38.0(24)
01-07-2018;3200;35.6(31)
01-08-2018;3200;40.8(03)
01-09-2018;3200;36.0(02)
01-10-2018;3200;28.4(04)
01-11-2018;3200;19.2(02)
01-12-2018;3200;17.8(05)
01-01-2018;3175;17.4(21)
01-02-2018;3175;17.0(26)
01-03-2018;3175;22.0(28)
01-04-2018;3175;29.1(25)
01-05-2018;3175;29.1(24)
01-06-2018;3175;37.8(24)
01-07-2018;3175;36.1(31)
01-08-2018;3175;40.5(03)
01-09-2018;3175;36.4(02)
01-10-2018;3175;29.5(03)
01-11-2018;3175;19.4(02)
01-12-2018;3175;18.8(05)
01-01-2018;2462;11.5(23)
01-02-2018;2462;8.0(26)
01-03-2018;2462;11.1(28)
01-04-2018;2462;18.6(26)
01-05-2018;2462;16.6(23)
01-06-2018;2462;28.1(25)
01-07-2018;2462;26.6(31)
01-08-2018;2462;30.9(02)
01-09-2018;2462;25.1(02)
01-10-2018;2462;20.8(04)
01-11-2018;2462;10.8(13)
01-12-2018;2462;16.3(25)
01-01-2018;6155A;22.6(21)
01-02-2018;6155A;22.2(17)
01-03-2018;6155A;24.8(28)
01-04-2018;6155A;27.0(27)
01-05-2018;6155A;28.7(09)
01-06-2018;6155A;34.1(28)
01-07-2018;6155A;39.9(29)
01-08-2018;6155A;36.5(14)
01-09-2018;6155A;34.2(24)
01-10-2018;6155A;33.8(07)
01-11-2018;6155A;22.1(07)
01-12-2018;6155A;23.0(04)
01-01-2018;6000A;23.6(02)
01-02-2018;6000A;23.4(28)
01-03-2018;6000A;25.3(10)
01-04-2018;6000A;24.8(27)
01-05-2018;6000A;24.7(31)
01-06-2018;6000A;29.4(14)
01-07-2018;6000A;33.8(21)
01-08-2018;6000A;34.1(14)
01-09-2018;6000A;29.8(03)
01-10-2018;6000A;32.2(07)
01-11-2018;6000A;23.8(21)
01-12-2018;6000A;23.5(13)
01-01-2018;7178I;26.0(22)
01-02-2018;7178I;22.9(15)
01-03-2018;7178I;29.3(28)
01-04-2018;7178I;31.1(27)
01-05-2018;7178I;31.2(23)
01-06-2018;7178I;34.7(22)
01-07-2018;7178I;40.7(28)
01-08-2018;7178I;39.5(06)
01-09-2018;7178I;35.9(23)
01-10-2018;7178I;30.7(06)
01-11-2018;7178I;24.4(11)
01-12-2018;7178I;24.8(09)
01-01-2018;7228;24.6(22)
01-02-2018;7228;23.1(17)
01-03-2018;7228;29.0(28)
01-04-2018;7228;31.0(27)
01-05-2018;7228;31.5(25)
01-06-2018;7228;34.6(22)
01-07-2018;7228;41.0(28)
01-08-2018;7228;40.0(06)
01-09-2018;7228;35.9(23)
01-10-2018;7228;30.5(06)
01-11-2018;7228;23.8(10)
01-12-2018;7228;24.4(06)
01-01-2018;7031;25.4(03)
01-02-2018;7031;22.9(17)
01-03-2018;7031;24.9(28)
01-04-2018;7031;25.0(15)
01-05-2018;7031;27.0(09)
01-06-2018;7031;29.4(28)
01-07-2018;7031;36.5(28)
01-08-2018;7031;34.6(06)
01-09-2018;7031;32.0(21)
01-10-2018;7031;28.0(06)
01-11-2018;7031;22.0(10)
01-12-2018;7031;23.0(03)
01-01-2018;9262;16.4(04)
01-02-2018;9262;18.2(16)
01-03-2018;9262;18.5(28)
01-04-2018;9262;25.9(24)
01-05-2018;9262;25.8(06)
01-06-2018;9262;31.8(20)
01-07-2018;9262;35.0(26)
01-08-2018;9262;36.3(06)
01-09-2018;9262;32.3(20)
01-10-2018;9262;26.8(04)
01-11-2018;9262;17.7(12)
01-12-2018;9262;18.7(31)
01-01-2018;9263D;16.9(04)
01-02-2018;9263D;17.8(16)
01-03-2018;9263D;19.0(28)
01-04-2018;9263D;26.5(24)
01-05-2018;9263D;27.9(24)
01-06-2018;9263D;32.6(26)
01-07-2018;9263D;36.2(26)
01-08-2018;9263D;37.4(06)
01-09-2018;9263D;33.6(20)
01-10-2018;9263D;27.7(04)
01-11-2018;9263D;0
01-12-2018;9263D;18.3(31)
01-01-2018;1690A;19.3(29)
01-02-2018;1690A;20.3(26)
01-03-2018;1690A;22.5(27)
01-04-2018;1690A;32.2(24)
01-05-2018;1690A;31.6(07)
01-06-2018;1690A;37.6(24)
01-07-2018;1690A;34.3(10)
01-08-2018;1690A;41.7(03)
01-09-2018;1690A;38.1(01)
01-10-2018;1690A;32.8(04)
01-11-2018;1690A;22.7(15)
01-12-2018;1690A;20.1(04)
01-01-2018;1484C;18.0(29)
01-02-2018;1484C;20.2(26)
01-03-2018;1484C;16.6(13)
01-04-2018;1484C;28.6(20)
01-05-2018;1484C;26.9(18)
01-06-2018;1484C;32.1(22)
01-07-2018;1484C;29.9(08)
01-08-2018;1484C;37.7(03)
01-09-2018;1484C;35.5(01)
01-10-2018;1484C;29.7(02)
01-11-2018;1484C;21.0(15)
01-12-2018;1484C;16.7(26)
01-01-2018;1495;18.1(29)
01-02-2018;1495;20.5(26)
01-03-2018;1495;14.9(09)
01-04-2018;1495;28.1(20)
