FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-09-2021;C029O;30.1
01-10-2021;C029O;28.2
01-11-2021;C029O;0
01-12-2021;C029O;22.4
01-01-2021;2661;8.1
01-02-2021;2661;10.8
01-03-2021;2661;14.8
01-04-2021;2661;16.3
01-05-2021;2661;19.8
01-06-2021;2661;24.2
01-07-2021;2661;27.3
01-08-2021;2661;28.9
01-09-2021;2661;22.4
01-10-2021;2661;19.5
01-11-2021;2661;12.1
01-12-2021;2661;11.1
01-01-2021;1549;9.2
01-02-2021;1549;13.4
01-03-2021;1549;17.9
01-04-2021;1549;20.0
01-05-2021;1549;21.9
01-06-2021;1549;26.0
01-07-2021;1549;28.9
01-08-2021;1549;30.7
01-09-2021;1549;24.7
01-10-2021;1549;21.4
01-11-2021;1549;13.4
01-12-2021;1549;11.9
01-01-2021;9771C;9.7
01-02-2021;9771C;16.0
01-03-2021;9771C;18.9
01-04-2021;9771C;19.9
01-05-2021;9771C;25.4
01-06-2021;9771C;30.8
01-07-2021;9771C;33.6
01-08-2021;9771C;33.1
01-09-2021;9771C;28.9
01-10-2021;9771C;23.1
01-11-2021;9771C;14.5
01-12-2021;9771C;10.3
01-01-2021;1505;9.1
01-02-2021;1505;13.5
01-03-2021;1505;15.6
01-04-2021;1505;17.6
01-05-2021;1505;19.2
01-06-2021;1505;21.3
01-07-2021;1505;24.1
01-08-2021;1505;25.6
01-09-2021;1505;23.1
01-10-2021;1505;19.8
01-11-2021;1505;12.7
01-12-2021;1505;13.1
01-01-2021;3191E;7.1
01-02-2021;3191E;11.3
01-03-2021;3191E;13.9
01-04-2021;3191E;15.4
01-05-2021;3191E;21.1
01-06-2021;3191E;25.9
01-07-2021;3191E;30.1
01-08-2021;3191E;31.2
01-09-2021;3191E;23.0
01-10-2021;3191E;19.6
01-11-2021;3191E;11.3
01-12-2021;3191E;11.1
01-01-2021;3129;8.1
01-02-2021;3129;14.6
01-03-2021;3129;16.9
01-04-2021;3129;18.5
01-05-2021;3129;25.2
01-06-2021;3129;29.8
01-07-2021;3129;33.7
01-08-2021;3129;34.8
01-09-2021;3129;26.6
01-10-2021;3129;22.7
01-11-2021;3129;14.0
01-12-2021;3129;13.5
01-01-2021;3196;8.6
01-02-2021;3196;14.6
01-03-2021;3196;17.0
01-04-2021;3196;18.7
01-05-2021;3196;24.7
01-06-2021;3196;29.3
01-07-2021;3196;32.9
01-08-2021;3196;34.3
01-09-2021;3196;26.6
01-10-2021;3196;22.6
01-11-2021;3196;14.0
01-12-2021;3196;13.5
01-01-2021;3200;8.0
01-02-2021;3200;14.9
01-03-2021;3200;17.2
01-04-2021;3200;18.7
01-05-2021;3200;24.8
01-06-2021;3200;29.4
01-07-2021;3200;33.1
01-08-2021;3200;34.6
01-09-2021;3200;26.7
01-10-2021;3200;22.8
01-11-2021;3200;14.2
01-12-2021;3200;13.7
01-01-2021;3195;7.5
01-02-2021;3195;13.9
01-03-2021;3195;16.1
01-04-2021;3195;17.6
01-05-2021;3195;0
01-06-2021;3195;28.1
01-07-2021;3195;32.5
01-08-2021;3195;33.7
01-09-2021;3195;25.4
01-10-2021;3195;21.0
01-11-2021;3195;12.7
01-12-2021;3195;12.6
01-01-2021;3175;7.9
01-02-2021;3175;14.3
01-03-2021;3175;0
01-04-2021;3175;17.8
01-05-2021;3175;23.9
01-06-2021;3175;28.2
01-07-2021;3175;32.2
01-08-2021;3175;0
01-09-2021;3175;26.8
01-10-2021;3175;0
01-11-2021;3175;14.0
01-12-2021;3175;13.6
01-01-2021;2462;1.5
01-02-2021;2462;4.9
01-03-2021;2462;7.1
01-04-2021;2462;8.9
01-05-2021;2462;12.9
01-06-2021;2462;18.1
01-07-2021;2462;22.3
01-08-2021;2462;24.6
01-09-2021;2462;16.1
01-10-2021;2462;13.9
01-11-2021;2462;3.1
01-12-2021;2462;5.2
01-01-2021;6155A;17.0
01-02-2021;6155A;19.0
01-03-2021;6155A;19.7
01-04-2021;6155A;21.4
01-05-2021;6155A;25.1
01-06-2021;6155A;28.8
01-07-2021;6155A;32.4
01-08-2021;6155A;32.0
01-09-2021;6155A;29.3
01-10-2021;6155A;25.8
01-11-2021;6155A;20.4
01-12-2021;6155A;18.8
01-01-2021;6000A;17.2
01-02-2021;6000A;18.2
01-03-2021;6000A;18.2
01-04-2021;6000A;20.0
01-05-2021;6000A;23.5
01-06-2021;6000A;25.8
01-07-2021;6000A;29.7
01-08-2021;6000A;29.8
01-09-2021;6000A;27.4
01-10-2021;6000A;0
01-11-2021;6000A;19.6
01-12-2021;6000A;18.3
01-01-2021;7178I;17.2
01-02-2021;7178I;20.3
01-03-2021;7178I;19.9
01-04-2021;7178I;21.6
01-05-2021;7178I;27.4
01-06-2021;7178I;30.6
01-07-2021;7178I;35.5
01-08-2021;7178I;35.3
01-09-2021;7178I;32.1
01-10-2021;7178I;26.6
01-11-2021;7178I;19.9
01-12-2021;7178I;19.1
01-01-2021;7228;17.0
01-02-2021;7228;20.3
01-03-2021;7228;20.2
01-04-2021;7228;22.2
01-05-2021;7228;28.0
01-06-2021;7228;31.2
01-07-2021;7228;35.8
01-08-2021;7228;35.5
01-09-2021;7228;32.1
01-10-2021;7228;26.4
