FECHA;INDICATIVO;DIAS_LLU
01-05-2020;0367;7
01-06-2020;0367;17
01-07-2020;0367;8
01-08-2020;0367;9
01-09-2020;0367;10
01-10-2020;0367;9
01-11-2020;0367;9
01-12-2020;0367;7
01-01-2020;5530E;7
01-02-2020;5530E;1
01-03-2020;5530E;11
01-04-2020;5530E;15
01-05-2020;5530E;8
01-06-2020;5530E;2
01-07-2020;5530E;0
01-08-2020;5530E;2
01-09-2020;5530E;5
01-10-2020;5530E;5
01-11-2020;5530E;8
01-12-2020;5530E;14
01-01-2020;5514;9
01-02-2020;5514;1
01-03-2020;5514;11
01-04-2020;5514;14
01-05-2020;5514;10
01-06-2020;5514;2
01-07-2020;5514;2
01-08-2020;5514;1
01-09-2020;5514;7
01-10-2020;5514;5
01-11-2020;5514;10
01-12-2020;5514;15
01-01-2020;3013;8
01-02-2020;3013;7
01-03-2020;3013;9
01-04-2020;3013;0
01-05-2020;3013;0
01-06-2020;3013;0
01-07-2020;3013;0
01-08-2020;3013;0
01-09-2020;3013;0
01-10-2020;3013;0
01-11-2020;3013;12
01-12-2020;3013;12
01-01-2020;4642E;10
01-02-2020;4642E;3
01-03-2020;4642E;13
01-04-2020;4642E;18
01-05-2020;4642E;9
01-06-2020;4642E;3
01-07-2020;4642E;0
01-08-2020;4642E;0
01-09-2020;4642E;3
01-10-2020;4642E;0
01-11-2020;4642E;0
01-12-2020;4642E;0
01-01-2020;9898;10
01-02-2020;9898;0
01-03-2020;9898;0
01-04-2020;9898;0
01-05-2020;9898;0
01-06-2020;9898;0
01-07-2020;9898;0
01-08-2020;9898;3
01-09-2020;9898;4
01-10-2020;9898;9
01-11-2020;9898;9
01-12-2020;9898;15
01-01-2020;5270B;7
01-02-2020;5270B;1
01-03-2020;5270B;0
01-04-2020;5270B;0
01-05-2020;5270B;0
01-06-2020;5270B;0
01-07-2020;5270B;1
01-08-2020;5270B;1
01-09-2020;5270B;2
01-10-2020;5270B;4
01-11-2020;5270B;9
01-12-2020;5270B;13
01-01-2020;9170;0
01-02-2020;9170;0
01-03-2020;9170;0
01-04-2020;9170;0
01-05-2020;9170;0
01-06-2020;9170;0
01-07-2020;9170;5
01-08-2020;9170;10
01-09-2020;9170;9
01-10-2020;9170;14
01-11-2020;9170;12
01-12-2020;9170;24
01-01-2020;C249I;4
01-02-2020;C249I;0
01-03-2020;C249I;7
01-04-2020;C249I;3
01-05-2020;C249I;0
01-06-2020;C249I;1
01-07-2020;C249I;1
01-08-2020;C249I;1
01-09-2020;C249I;2
01-10-2020;C249I;5
01-11-2020;C249I;6
01-12-2020;C249I;6
01-01-2020;C649I;7
01-02-2020;C649I;3
01-03-2020;C649I;11
01-04-2020;C649I;4
01-05-2020;C649I;3
01-06-2020;C649I;3
01-07-2020;C649I;0
01-08-2020;C649I;2
01-09-2020;C649I;4
01-10-2020;C649I;8
01-11-2020;C649I;5
01-12-2020;C649I;15
01-01-2020;C029O;5
01-02-2020;C029O;0
01-03-2020;C029O;8
01-04-2020;C029O;3
01-05-2020;C029O;0
01-06-2020;C029O;2
01-07-2020;C029O;2
01-08-2020;C029O;0
01-09-2020;C029O;1
01-10-2020;C029O;4
01-11-2020;C029O;9
01-12-2020;C029O;9
01-01-2020;2661;14
01-02-2020;2661;11
01-03-2020;2661;8
01-04-2020;2661;18
01-05-2020;2661;11
01-06-2020;2661;7
01-07-2020;2661;4
01-08-2020;2661;8
01-09-2020;2661;9
01-10-2020;2661;10
01-11-2020;2661;13
01-12-2020;2661;16
01-01-2020;1549;14
01-02-2020;1549;13
01-03-2020;1549;12
01-04-2020;1549;22
01-05-2020;1549;11
01-06-2020;1549;12
01-07-2020;1549;7
01-08-2020;1549;9
01-09-2020;1549;12
01-10-2020;1549;17
01-11-2020;1549;12
01-12-2020;1549;22
01-01-2020;9771C;11
01-02-2020;9771C;2
01-03-2020;9771C;11
01-04-2020;9771C;16
01-05-2020;9771C;11
01-06-2020;9771C;11
01-07-2020;9771C;6
01-08-2020;9771C;5
01-09-2020;9771C;7
01-10-2020;9771C;8
01-11-2020;9771C;10
01-12-2020;9771C;11
01-01-2020;1505;18
01-02-2020;1505;17
01-03-2020;1505;17
01-04-2020;1505;23
01-05-2020;1505;11
01-06-2020;1505;16
01-07-2020;1505;10
01-08-2020;1505;15
01-09-2020;1505;12
01-10-2020;1505;22
01-11-2020;1505;15
01-12-2020;1505;27
01-01-2020;3191E;14
01-02-2020;3191E;4
01-03-2020;3191E;9
01-04-2020;3191E;18
01-05-2020;3191E;11
01-06-2020;3191E;6
01-07-2020;3191E;4
01-08-2020;3191E;3
01-09-2020;3191E;8
01-10-2020;3191E;9
01-11-2020;3191E;13
01-12-2020;3191E;16
01-01-2020;3129;9
01-02-2020;3129;1
01-03-2020;3129;10
01-04-2020;3129;16
01-05-2020;3129;11
01-06-2020;3129;5
01-07-2020;3129;2
01-08-2020;3129;3
01-09-2020;3129;8
01-10-2020;3129;7
01-11-2020;3129;12
01-12-2020;3129;14
01-01-2020;3196;12
01-02-2020;3196;1
01-03-2020;3196;10
01-04-2020;3196;18
01-05-2020;3196;10
01-06-2020;3196;5
01-07-2020;3196;6
01-08-2020;3196;3
01-09-2020;3196;6
01-10-2020;3196;7
01-11-2020;3196;12
01-12-2020;3196;12
01-01-2020;3200;12
01-02-2020;3200;2
01-03-2020;3200;12
01-04-2020;3200;16
01-05-2020;3200;9
01-06-2020;3200;6
01-07-2020;3200;5
01-08-2020;3200;3
01-09-2020;3200;7
01-10-2020;3200;7
01-11-2020;3200;10
01-12-2020;3200;12
01-01-2020;3195;12
01-02-2020;3195;1
01-03-2020;3195;10
01-04-2020;3195;16
01-05-2020;3195;8
01-06-2020;3195;4
01-07-2020;3195;2
01-08-2020;3195;3
01-09-2020;3195;7
01-10-2020;3195;7
01-11-2020;3195;11
01-12-2020;3195;17
01-01-2020;3175;11
01-02-2020;3175;0
01-03-2020;3175;9
01-04-2020;3175;16
01-05-2020;3175;10
01-06-2020;3175;6
01-07-2020;3175;7
01-08-2020;3175;2
01-09-2020;3175;8
01-10-2020;3175;7
01-11-2020;3175;9
01-12-2020;3175;11
01-01-2020;2462;5
01-02-2020;2462;7
01-03-2020;2462;5
01-04-2020;2462;19
01-05-2020;2462;11
01-06-2020;2462;7
01-07-2020;2462;7
01-08-2020;2462;4
01-09-2020;2462;9
01-10-2020;2462;13
01-11-2020;2462;11
01-12-2020;2462;9
01-01-2020;6155A;7
01-02-2020;6155A;1
01-03-2020;6155A;14
01-04-2020;6155A;9
01-05-2020;6155A;7
01-06-2020;6155A;1
01-07-2020;6155A;1
01-08-2020;6155A;1
01-09-2020;6155A;3
01-10-2020;6155A;6
01-11-2020;6155A;7
01-12-2020;6155A;7
01-01-2020;6000A;6
01-02-2020;6000A;0
01-03-2020;6000A;9
01-04-2020;6000A;14
01-05-2020;6000A;4
01-06-2020;6000A;1
01-07-2020;6000A;3
01-08-2020;6000A;1
01-09-2020;6000A;2
01-10-2020;6000A;2
01-11-2020;6000A;5
01-12-2020;6000A;12
01-01-2020;7178I;9
01-02-2020;7178I;3
01-03-2020;7178I;11
01-04-2020;7178I;12
01-05-2020;7178I;5
01-06-2020;7178I;5
01-07-2020;7178I;3
01-08-2020;7178I;3
01-09-2020;7178I;3
01-10-2020;7178I;4
01-11-2020;7178I;6
01-12-2020;7178I;5
01-01-2020;7228;5
01-02-2020;7228;2
01-03-2020;7228;10
01-04-2020;7228;12
01-05-2020;7228;6
01-06-2020;7228;4
01-07-2020;7228;3
01-08-2020;7228;2
01-09-2020;7228;3
01-10-2020;7228;4
01-11-2020;7228;7
01-12-2020;7228;5
01-01-2020;7031;6
01-02-2020;7031;4
01-03-2020;7031;9
01-04-2020;7031;13
01-05-2020;7031;4
01-06-2020;7031;7
01-07-2020;7031;3
01-08-2020;7031;2
01-09-2020;7031;4
01-10-2020;7031;4
01-11-2020;7031;7
01-12-2020;7031;2
01-01-2020;9262;9
01-02-2020;9262;6
01-03-2020;9262;0
01-04-2020;9262;0
01-05-2020;9262;0
01-06-2020;9262;0
01-07-2020;9262;0
01-08-2020;9262;7
01-09-2020;9262;6
01-10-2020;9262;14
01-11-2020;9262;6
01-12-2020;9262;21
01-01-2020;9263D;15
01-02-2020;9263D;7
01-03-2020;9263D;12
01-04-2020;9263D;0
01-05-2020;9263D;0
01-06-2020;9263D;0
01-07-2020;9263D;5
